date,type,fuel,registrations
2011-08-01,all_types,diesel,2968
2011-09-01,all_types,diesel,2469
2011-10-01,all_types,diesel,2749
2011-11-01,all_types,diesel,2679
2011-12-01,all_types,diesel,2725
2012-01-01,all_types,diesel,2165
2012-02-01,all_types,diesel,2334
2012-03-01,all_types,diesel,3080
2012-04-01,all_types,diesel,2797
2012-05-01,all_types,diesel,2971
2012-06-01,all_types,diesel,2754
2012-07-01,all_types,diesel,3161
2012-08-01,all_types,diesel,2544
2012-09-01,all_types,diesel,2566
2012-10-01,all_types,diesel,2999
2012-11-01,all_types,diesel,2582
2012-12-01,all_types,diesel,2588
2013-01-01,all_types,diesel,2667
2013-02-01,all_types,diesel,1922
2013-03-01,all_types,diesel,2482
2013-04-01,all_types,diesel,2952
2013-05-01,all_types,diesel,2588
2013-06-01,all_types,diesel,2674
2013-07-01,all_types,diesel,2927
2013-08-01,all_types,diesel,2621
2013-09-01,all_types,diesel,2726
2013-10-01,all_types,diesel,2865
2013-11-01,all_types,diesel,2382
2013-12-01,all_types,diesel,2416
2014-01-01,all_types,diesel,2690
2014-02-01,all_types,diesel,1935
2014-03-01,all_types,diesel,2764
2014-04-01,all_types,diesel,2673
2014-05-01,all_types,diesel,2389
2014-06-01,all_types,diesel,2386
2014-07-01,all_types,diesel,2460
2014-08-01,all_types,diesel,2345
2014-09-01,all_types,diesel,2602
2014-10-01,all_types,diesel,2590
2014-11-01,all_types,diesel,2053
2014-12-01,all_types,diesel,2311
2015-01-01,all_types,diesel,2174
2015-02-01,all_types,diesel,1683
2015-03-01,all_types,diesel,2985
2015-04-01,all_types,diesel,2280
2015-05-01,all_types,diesel,1655
2015-06-01,all_types,diesel,1873
2015-07-01,all_types,diesel,1780
2015-08-01,all_types,diesel,1757
2015-09-01,all_types,diesel,1832
2015-10-01,all_types,diesel,1738
2015-11-01,all_types,diesel,1648
2015-12-01,all_types,diesel,1600
2016-01-01,all_types,diesel,1584
2016-02-01,all_types,diesel,1260
2016-03-01,all_types,diesel,1676
2016-04-01,all_types,diesel,1702
2016-05-01,all_types,diesel,1670
2016-06-01,all_types,diesel,1723
2016-07-01,all_types,diesel,1331
2016-08-01,all_types,diesel,1748
2016-09-01,all_types,diesel,1769
2016-10-01,all_types,diesel,1739
2016-11-01,all_types,diesel,1657
2016-12-01,all_types,diesel,1507
2017-01-01,all_types,diesel,1603
2017-02-01,all_types,diesel,1359
2017-03-01,all_types,diesel,1891
2017-04-01,all_types,diesel,1622
2017-05-01,all_types,diesel,1805
2017-06-01,all_types,diesel,1635
2017-07-01,all_types,diesel,1858
2017-08-01,all_types,diesel,2146
2017-09-01,all_types,diesel,1585
2017-10-01,all_types,diesel,1976
2017-11-01,all_types,diesel,1949
2017-12-01,all_types,diesel,1630
2018-01-01,all_types,diesel,2131
2018-02-01,all_types,diesel,1784
2018-03-01,all_types,diesel,2160
2018-04-01,all_types,diesel,2176
2018-05-01,all_types,diesel,1663
2018-06-01,all_types,diesel,2018
2018-07-01,all_types,diesel,2329
2018-08-01,all_types,diesel,2230
2018-09-01,all_types,diesel,1985
2018-10-01,all_types,diesel,2054
2018-11-01,all_types,diesel,1764
2018-12-01,all_types,diesel,1746
2019-01-01,all_types,diesel,1926
2019-02-01,all_types,diesel,1158
2019-03-01,all_types,diesel,1678
2019-04-01,all_types,diesel,1745
2019-05-01,all_types,diesel,1892
2019-06-01,all_types,diesel,1362
2019-07-01,all_types,diesel,1950
2019-08-01,all_types,diesel,1870
2019-09-01,all_types,diesel,1689
2019-10-01,all_types,diesel,1902
2019-11-01,all_types,diesel,1708
2019-12-01,all_types,diesel,1680
2020-01-01,all_types,diesel,1574
2020-02-01,all_types,diesel,1596
2020-03-01,all_types,diesel,1061
2020-05-01,all_types,diesel,871
2020-06-01,all_types,diesel,1622
2020-07-01,all_types,diesel,1832
2020-08-01,all_types,diesel,1631
2020-09-01,all_types,diesel,2133
2020-10-01,all_types,diesel,2024
2020-11-01,all_types,diesel,2003
2020-12-01,all_types,diesel,1824
2021-01-01,all_types,diesel,1657
2021-02-01,all_types,diesel,1637
2021-03-01,all_types,diesel,2267
2021-04-01,all_types,diesel,2166
2021-05-01,all_types,diesel,1915
2021-06-01,all_types,diesel,13
2021-07-01,all_types,diesel,1705
2021-08-01,all_types,diesel,1944
2021-09-01,all_types,diesel,2542
2021-10-01,all_types,diesel,2266
2021-11-01,all_types,diesel,2247
2021-12-01,all_types,diesel,2695
2022-01-01,all_types,diesel,2432
2022-02-01,all_types,diesel,1704
2022-03-01,all_types,diesel,2731
2022-04-01,all_types,diesel,2429
2022-05-01,all_types,diesel,2046
2022-06-01,all_types,diesel,2544
2022-07-01,all_types,diesel,2453
2022-08-01,all_types,diesel,2601
2022-09-01,all_types,diesel,2739
2022-10-01,all_types,diesel,2316
2022-11-01,all_types,diesel,2260
2022-12-01,all_types,diesel,2358
2023-01-01,all_types,diesel,2285
2023-02-01,all_types,diesel,2470
2023-03-01,all_types,diesel,2896
2023-04-01,all_types,diesel,2211
2023-05-01,all_types,diesel,2562
2023-06-01,all_types,diesel,2427
2023-07-01,all_types,diesel,2650
2023-08-01,all_types,diesel,2730
2023-09-01,all_types,diesel,2364
2023-10-01,all_types,diesel,2612
2023-11-01,all_types,diesel,2415
2023-12-01,all_types,diesel,2258
2024-01-01,all_types,diesel,2283
2024-02-01,all_types,diesel,1904
2024-03-01,all_types,diesel,2471
2024-04-01,all_types,diesel,2181
2024-05-01,all_types,diesel,2339
2024-06-01,all_types,diesel,2247
2024-07-01,all_types,diesel,2527
2024-08-01,all_types,diesel,2596
2024-09-01,all_types,diesel,2168
2024-10-01,all_types,diesel,2503
2024-11-01,all_types,diesel,2455
2024-12-01,all_types,diesel,2292
2025-01-01,all_types,diesel,2154
2025-02-01,all_types,diesel,2926
2025-03-01,all_types,diesel,3256
2025-04-01,all_types,diesel,2698
2025-05-01,all_types,diesel,2784
2025-06-01,all_types,diesel,2562
2025-07-01,all_types,diesel,3228
2025-08-01,all_types,diesel,2824
2025-09-01,all_types,diesel,2554
2025-10-01,all_types,diesel,2819
2025-11-01,all_types,diesel,2340
2025-12-01,all_types,diesel,2553
2026-01-01,all_types,diesel,2268
2026-02-01,all_types,diesel,1994
2026-03-01,all_types,diesel,2160
2026-04-01,all_types,diesel,2542
2001-06-01,all_types,electric,2
2003-03-01,all_types,electric,1
2003-12-01,all_types,electric,1
2006-07-01,all_types,electric,1
2009-07-01,all_types,electric,1
2010-12-01,all_types,electric,1
2011-05-01,all_types,electric,1
2011-06-01,all_types,electric,2
2011-07-01,all_types,electric,129
2011-08-01,all_types,electric,45
2011-09-01,all_types,electric,22
2011-10-01,all_types,electric,27
2011-11-01,all_types,electric,17
2011-12-01,all_types,electric,28
2012-01-01,all_types,electric,35
2012-02-01,all_types,electric,24
2012-03-01,all_types,electric,38
2012-04-01,all_types,electric,35
2012-05-01,all_types,electric,15
2012-06-01,all_types,electric,12
2012-07-01,all_types,electric,24
2012-08-01,all_types,electric,18
2012-09-01,all_types,electric,27
2012-10-01,all_types,electric,23
2012-11-01,all_types,electric,20
2012-12-01,all_types,electric,15
2013-01-01,all_types,electric,14
2013-02-01,all_types,electric,11
2013-03-01,all_types,electric,8
2013-04-01,all_types,electric,30
2013-05-01,all_types,electric,16
2013-06-01,all_types,electric,12
2013-07-01,all_types,electric,14
2013-08-01,all_types,electric,9
2013-09-01,all_types,electric,48
2013-10-01,all_types,electric,18
2013-11-01,all_types,electric,30
2013-12-01,all_types,electric,39
2014-01-01,all_types,electric,24
2014-02-01,all_types,electric,57
2014-03-01,all_types,electric,69
2014-04-01,all_types,electric,40
2014-05-01,all_types,electric,35
2014-06-01,all_types,electric,34
2014-07-01,all_types,electric,80
2014-08-01,all_types,electric,53
2014-09-01,all_types,electric,36
2014-10-01,all_types,electric,48
2014-11-01,all_types,electric,70
2014-12-01,all_types,electric,102
2015-01-01,all_types,electric,63
2015-02-01,all_types,electric,55
2015-03-01,all_types,electric,99
2015-04-01,all_types,electric,94
2015-05-01,all_types,electric,69
2015-06-01,all_types,electric,89
2015-07-01,all_types,electric,58
2015-08-01,all_types,electric,64
2015-09-01,all_types,electric,65
2015-10-01,all_types,electric,77
2015-11-01,all_types,electric,57
2015-12-01,all_types,electric,70
2016-01-01,all_types,electric,56
2016-02-01,all_types,electric,62
2016-03-01,all_types,electric,82
2016-04-01,all_types,electric,69
2016-05-01,all_types,electric,63
2016-06-01,all_types,electric,58
2016-07-01,all_types,electric,49
2016-08-01,all_types,electric,62
2016-09-01,all_types,electric,81
2016-10-01,all_types,electric,94
2016-11-01,all_types,electric,103
2016-12-01,all_types,electric,76
2017-01-01,all_types,electric,80
2017-02-01,all_types,electric,52
2017-03-01,all_types,electric,87
2017-04-01,all_types,electric,113
2017-05-01,all_types,electric,107
2017-06-01,all_types,electric,83
2017-07-01,all_types,electric,108
2017-08-01,all_types,electric,100
2017-09-01,all_types,electric,26
2017-10-01,all_types,electric,29
2017-11-01,all_types,electric,52
2017-12-01,all_types,electric,58
2018-01-01,all_types,electric,76
2018-02-01,all_types,electric,79
2018-03-01,all_types,electric,124
2018-04-01,all_types,electric,96
2018-05-01,all_types,electric,65
2018-06-01,all_types,electric,69
2018-07-01,all_types,electric,95
2018-08-01,all_types,electric,124
2018-09-01,all_types,electric,70
2018-10-01,all_types,electric,127
2018-11-01,all_types,electric,137
2018-12-01,all_types,electric,161
2019-01-01,all_types,electric,171
2019-02-01,all_types,electric,85
2019-03-01,all_types,electric,83
2019-04-01,all_types,electric,111
2019-05-01,all_types,electric,150
2019-06-01,all_types,electric,39
2019-07-01,all_types,electric,77
2019-08-01,all_types,electric,90
2019-09-01,all_types,electric,111
2019-10-01,all_types,electric,92
2019-11-01,all_types,electric,93
2019-12-01,all_types,electric,82
2020-01-01,all_types,electric,77
2020-02-01,all_types,electric,58
2020-03-01,all_types,electric,38
2020-05-01,all_types,electric,50
2020-06-01,all_types,electric,69
2020-07-01,all_types,electric,94
2020-08-01,all_types,electric,72
2020-09-01,all_types,electric,108
2020-10-01,all_types,electric,87
2020-11-01,all_types,electric,62
2020-12-01,all_types,electric,73
